iter	RMSE
0	261.4395679
1	261.3159626
2	261.1918765
3	261.1099712
4	261.0237784
5	260.8915049
6	260.831172
7	260.7372325
8	260.6587289
9	260.5487039
10	260.4930171
11	260.4387973
12	260.3007088
13	260.2515464
14	260.201133
15	260.0689867
16	259.9837859
17	259.8982239
18	259.7752467
19	259.7193552
20	259.6793895
21	259.6192124
22	259.5807747
23	259.5159881
24	259.4744923
25	259.4081677
26	259.3614884
27	259.3372307
28	259.2771614
29	259.2323546
30	259.1361149
31	259.1029359
32	259.0188165
33	258.9587368
34	258.8846823
35	258.8132665
36	258.7286968
37	258.6820619
38	258.5912568
39	258.5068577
40	258.4664576
41	258.4176987
42	258.371198
43	258.3204367
44	258.2615774
45	258.2086024
46	258.1525566
47	258.1115176
48	258.0776444
49	258.0360389
50	257.9986741
51	257.9300667
52	257.8877922
53	257.8652433
54	257.8219584
55	257.7597823
56	257.73955
57	257.6706678
58	257.6147588
59	257.5874143
60	257.5455138
61	257.5421815
62	257.5106531
63	257.4558969
64	257.3880887
65	257.3392231
66	257.2715448
67	257.2476113
68	257.2110707
69	257.1708597
70	257.114503
71	257.0625449
72	257.0196343
73	256.9640025
74	256.9567583
75	256.9433171
76	256.9191958
77	256.8832448
78	256.8292319
79	256.816136
80	256.7781078
81	256.7411159
82	256.7004957
83	256.6895696
84	256.6102783
85	256.5353215
86	256.4912191
87	256.4451341
88	256.4171686
89	256.3873782
90	256.3695038
91	256.3478272
92	256.3309064
93	256.2868233
94	256.241745
95	256.1590403
96	256.0852433
97	256.0455986
98	256.0070101
99	255.9919857
100	255.9564395
101	255.9480924
102	255.9312113
103	255.9007033
104	255.8642619
105	255.8064031
106	255.7828925
107	255.7489445
108	255.6924574
109	255.6660841
110	255.6309587
111	255.6023426
112	255.5825978
113	255.5434927
114	255.5129771
115	255.4635774
116	255.4071894
117	255.3857526
118	255.3626752
119	255.3244621
120	255.3123584
121	255.2815352
122	255.2351534
123	255.2146841
124	255.2028695
125	255.1533824
126	255.1366298
127	255.1165724
128	255.1016027
129	255.0963085
130	255.087382
131	255.0226336
132	254.9911488
133	254.961021
134	254.9333059
135	254.9221708
136	254.8827728
137	254.8338234
138	254.7815242
139	254.7502211
140	254.7369951
141	254.7144683
142	254.6999694
143	254.6766518
144	254.6384107
145	254.6083068
146	254.600118
147	254.5844455
148	254.557296
149	254.4908075
150	254.4657369
151	254.3979523
152	254.3576394
153	254.3385762
154	254.3063436
155	254.2511527
156	254.1939511
157	254.1487238
158	254.1272813
159	254.0755462
160	254.0612771
161	254.015936
162	253.9926513
163	253.9672382
164	253.9541724
165	253.9117676
166	253.8776114
167	253.8588029
168	253.8476221
169	253.8235365
170	253.7835348
171	253.7543255
172	253.7243641
173	253.7061192
174	253.6758044
175	253.6567344
176	253.6285972
177	253.5956335
178	253.5645661
179	253.5558257
180	253.5316719
181	253.5113262
182	253.4861199
183	253.4523991
184	253.4196668
185	253.398661
186	253.3630383
187	253.3247308
188	253.2926361
189	253.2696791
190	253.2299971
191	253.2212516
192	253.2099413
193	253.1881673
194	253.1588144
195	253.1200903
196	253.1146247
197	253.0987729
198	253.0826994
199	253.0461634
200	253.0088114
201	252.9970127
202	252.9770664
203	252.9541346
204	252.9164866
205	252.8926431
206	252.8715704
207	252.8358944
208	252.8152095
209	252.7932083
210	252.788916
211	252.780686
212	252.7686197
213	252.7378966
214	252.7248226
215	252.7210835
216	252.6918958
217	252.6638507
218	252.6476367
219	252.6135712
220	252.6069506
221	252.5643634
222	252.5318
223	252.5004235
224	252.4742649
225	252.4382712
226	252.3944676
227	252.3749051
228	252.3625897
229	252.3365995
230	252.3108458
231	252.2954971
232	252.2689497
233	252.2259043
234	252.2115948
235	252.1837739
236	252.176077
237	252.1532493
238	252.1182742
239	252.0891522
240	252.0760256
241	252.011973
242	251.9796945
243	251.9324323
244	251.9143929
245	251.8608387
246	251.8259526
247	251.780969
248	251.7663012
249	251.7424547
250	251.7145254
251	251.6880488
252	251.6717479
253	251.6611324
254	251.6169029
255	251.5800727
256	251.5583863
257	251.5374814
258	251.4908983
259	251.4604765
260	251.430108
261	251.3829999
262	251.3585724
263	251.356425
264	251.3118931
265	251.2941241
266	251.2374311
267	251.2181511
268	251.1921645
269	251.1709218
270	251.1316333
271	251.110325
272	251.0794125
273	251.0669861
274	251.043633
275	251.0033634
276	250.960148
277	250.9380259
278	250.8970914
279	250.8674105
280	250.8473763
281	250.8267305
282	250.7712519
283	250.7435068
284	250.7232386
285	250.6840302
286	250.6270429
287	250.5813557
288	250.5467183
289	250.4867654
290	250.4360327
291	250.4147759
292	250.3860813
293	250.3753652
294	250.3516688
295	250.3165034
296	250.2835041
297	250.2518057
298	250.246644
299	250.2380607
300	250.2257366
301	250.1842745
302	250.1296223
303	250.0986116
304	250.0525331
305	250.0075678
306	249.982397
307	249.9629361
308	249.929284
309	249.8841772
310	249.8378154
311	249.8243249
312	249.805881
313	249.7618772
314	249.7573933
315	249.7196169
316	249.6978444
317	249.6630862
318	249.6339062
319	249.6104419
320	249.5780856
321	249.564826
322	249.5416488
323	249.5175055
324	249.4983012
325	249.4601635
326	249.4109142
327	249.3998402
328	249.344038
329	249.3421667
330	249.3272132
331	249.2976215
332	249.2545729
333	249.2326462
334	249.2078387
335	249.1854649
336	249.1714543
337	249.1369353
338	249.0975873
339	249.0900264
340	249.0744821
341	249.0617265
342	249.0578176
343	249.0421584
344	249.0137225
345	248.9957574
346	248.9677203
347	248.936008
348	248.9099754
349	248.8905268
350	248.8765908
351	248.8505005
352	248.8172679
353	248.7920528
354	248.7500143
355	248.7296144
356	248.7166767
357	248.6676499
358	248.650273
359	248.6099978
360	248.5712727
361	248.5408827
362	248.5123291
363	248.492507
364	248.4643311
365	248.4291765
366	248.4085978
367	248.3964659
368	248.3725715
369	248.3463391
370	248.3264048
371	248.3119282
372	248.2906866
373	248.2542943
374	248.2438869
375	248.2247277
376	248.1891905
377	248.1590398
378	248.1228485
379	248.092595
380	248.0583773
381	248.039855
382	248.0116153
383	247.9909343
384	247.9769513
385	247.9456971
386	247.9373752
387	247.9153058
388	247.8970911
389	247.8705875
390	247.8505697
391	247.8381887
392	247.813846
393	247.7892214
394	247.7564022
395	247.7393852
396	247.7087655
397	247.6610877
398	247.6300627
399	247.5977225
400	247.5900825
401	247.5597403
402	247.5435954
403	247.5171619
404	247.5108776
405	247.4624179
406	247.427824
407	247.3993443
408	247.3955947
409	247.3938808
410	247.3815898
411	247.3563489
412	247.3441304
413	247.3293185
414	247.292896
415	247.2564024
416	247.2342409
417	247.1942195
418	247.1767201
419	247.1455971
420	247.1184429
421	247.1063687
422	247.0888474
423	247.0767015
424	247.0542321
425	247.0108268
426	246.9963062
427	246.9697608
428	246.9393792
429	246.909627
430	246.8790599
431	246.8488058
432	246.8291234
433	246.8216563
434	246.8102527
435	246.7843398
436	246.7563016
437	246.7231685
438	246.7009781
439	246.6800449
440	246.6600046
441	246.657404
442	246.6287389
443	246.6139102
444	246.6012638
445	246.5971502
446	246.5519413
447	246.5410778
448	246.5169514
449	246.4897898
450	246.4777777
451	246.453871
452	246.4328002
453	246.3990254
454	246.3668478
455	246.3262468
456	246.2949136
457	246.2892762
458	246.2794565
