iter	Passed	Remaining
0	166	165955
1	171	85616
2	175	58291
3	179	44628
4	183	36500
5	187	31089
6	192	27251
7	196	24310
8	199	22017
9	204	20218
10	208	18722
11	211	17428
12	215	16379
13	219	15450
14	223	14680
15	227	13966
16	230	13347
17	235	12858
18	239	12370
19	242	11906
20	246	11480
21	249	11092
22	252	10726
23	255	10388
24	257	10061
25	260	9757
26	262	9472
27	264	9192
28	267	8953
29	269	8704
30	271	8474
31	272	8255
32	274	8045
33	276	7848
34	277	7662
35	279	7486
36	281	7325
37	283	7167
38	284	7016
39	286	6873
40	287	6736
41	289	6614
42	291	6490
43	293	6370
44	294	6259
45	296	6154
46	298	6049
47	299	5949
48	301	5852
49	303	5758
50	304	5670
51	306	5585
52	307	5502
53	309	5423
54	312	5360
55	313	5289
56	315	5218
57	317	5150
58	318	5083
59	320	5019
60	321	4956
61	323	4886
62	324	4827
63	326	4776
64	328	4723
65	330	4670
66	331	4617
67	333	4567
68	334	4518
69	336	4470
70	338	4424
71	339	4380
72	341	4337
73	343	4297
74	344	4254
75	346	4214
76	348	4174
77	350	4140
78	351	4102
79	353	4064
80	355	4027
81	357	3998
82	358	3965
83	360	3931
84	362	3898
85	363	3865
86	365	3834
87	367	3803
88	368	3772
89	370	3745
90	372	3716
91	373	3686
92	375	3659
93	376	3631
94	378	3604
95	379	3577
96	381	3553
97	383	3531
98	385	3507
99	387	3488
100	389	3466
101	390	3439
102	392	3415
103	393	3393
104	395	3372
105	397	3350
106	398	3328
107	400	3308
108	402	3288
109	403	3268
110	405	3248
111	407	3228
112	408	3208
113	410	3189
114	411	3170
115	413	3152
116	415	3136
117	417	3118
118	418	3101
119	420	3084
120	422	3069
121	424	3052
122	425	3035
123	427	3019
124	428	3002
125	431	2989
126	432	2975
127	434	2959
128	436	2944
129	437	2929
130	439	2914
131	441	2901
132	442	2886
133	444	2871
134	446	2859
135	447	2845
136	449	2831
137	451	2818
138	453	2806
139	454	2792
140	456	2779
141	457	2766
142	459	2753
143	461	2743
144	463	2731
145	464	2719
146	466	2706
147	468	2694
148	469	2682
149	471	2671
150	472	2659
151	474	2647
152	477	2643
153	479	2632
154	480	2620
155	482	2609
156	484	2599
157	485	2588
158	487	2577
159	489	2568
160	491	2558
161	492	2548
162	494	2537
163	495	2526
164	497	2515
165	498	2506
166	500	2498
167	502	2489
168	504	2479
169	506	2471
170	507	2462
171	509	2453
172	511	2443
173	512	2433
174	514	2424
175	515	2414
176	517	2406
177	519	2397
178	520	2388
179	522	2380
180	523	2370
181	525	2362
182	527	2353
183	528	2344
184	536	2363
185	539	2359
186	541	2352
187	542	2344
188	544	2336
189	546	2328
190	547	2320
191	549	2313
192	551	2305
193	553	2298
194	555	2291
195	556	2283
196	558	2274
197	559	2266
198	561	2258
199	562	2250
200	564	2244
201	566	2237
202	567	2229
203	569	2222
204	571	2214
205	572	2206
206	574	2199
207	575	2192
208	577	2184
209	578	2177
210	580	2170
211	582	2163
212	583	2156
213	585	2149
214	587	2143
215	588	2136
216	590	2129
217	591	2123
218	593	2117
219	595	2110
220	596	2104
221	598	2097
222	600	2090
223	601	2084
224	603	2077
225	604	2071
226	606	2065
227	607	2058
228	609	2052
229	611	2048
230	614	2044
231	615	2038
232	617	2032
233	618	2026
234	620	2019
235	622	2014
236	623	2008
237	625	2003
238	627	1998
239	629	1992
240	630	1986
241	632	1981
242	634	1975
243	635	1969
244	637	1963
245	638	1958
246	640	1953
247	642	1947
248	643	1942
249	645	1936
250	647	1932
251	649	1926
252	650	1921
253	652	1916
254	654	1911
255	656	1906
256	657	1901
257	659	1896
258	661	1891
259	662	1886
260	664	1880
261	665	1875
262	667	1870
263	669	1865
264	670	1860
265	672	1855
266	673	1850
267	675	1845
268	677	1840
269	678	1835
270	680	1830
271	682	1825
272	683	1820
273	685	1815
274	687	1813
275	689	1808
276	691	1804
277	692	1799
278	694	1794
279	696	1789
280	697	1784
281	699	1780
282	700	1775
283	702	1771
284	704	1766
285	705	1762
286	707	1757
287	709	1753
288	710	1748
289	712	1744
290	713	1739
291	715	1735
292	717	1731
293	719	1727
294	720	1722
295	722	1718
296	724	1713
297	725	1709
298	727	1705
299	728	1700
300	730	1696
301	732	1693
302	734	1689
303	736	1685
304	737	1681
305	739	1677
306	741	1673
307	742	1668
308	744	1664
309	746	1660
310	747	1656
311	749	1652
312	750	1647
313	752	1643
314	753	1639
315	755	1635
316	757	1631
317	758	1627
318	760	1623
319	762	1620
320	764	1617
321	766	1613
322	767	1609
323	769	1605
324	770	1601
325	772	1597
326	774	1593
327	776	1590
328	777	1586
329	779	1582
330	780	1578
331	782	1574
332	784	1570
333	786	1567
334	787	1563
335	789	1559
336	790	1555
337	792	1552
338	794	1548
339	795	1544
340	797	1541
341	798	1537
342	800	1533
343	802	1530
344	804	1527
345	805	1523
346	807	1519
347	809	1516
348	810	1512
349	812	1508
350	814	1505
351	815	1501
352	817	1498
353	818	1494
354	820	1490
355	822	1487
356	823	1483
357	825	1480
358	827	1476
359	828	1473
360	831	1471
361	833	1468
362	834	1465
363	836	1461
364	838	1458
365	839	1454
366	841	1451
367	843	1448
368	844	1444
369	846	1441
370	848	1437
371	849	1434
372	851	1430
373	852	1427
374	854	1424
375	856	1420
376	857	1417
377	859	1414
378	861	1411
379	862	1407
380	864	1404
381	866	1401
382	867	1398
383	869	1394
384	871	1391
385	872	1388
386	874	1385
387	876	1381
388	877	1378
389	879	1375
390	880	1372
391	882	1368
392	884	1365
393	885	1362
394	887	1359
395	889	1355
396	891	1354
397	893	1352
398	895	1348
399	897	1345
400	898	1342
401	900	1339
402	902	1336
403	904	1334
404	906	1331
405	908	1328
406	909	1325
407	911	1322
408	912	1319
409	914	1315
410	916	1312
411	917	1309
412	919	1306
413	921	1303
414	923	1301
415	925	1298
416	927	1296
417	928	1293
418	930	1290
419	931	1286
420	933	1283
421	935	1280
422	936	1277
423	938	1275
424	940	1272
425	942	1269
426	943	1266
427	945	1263
428	946	1260
429	948	1257
430	950	1254
431	952	1252
432	953	1249
433	955	1245
434	956	1242
435	958	1240
436	960	1237
437	961	1234
438	963	1231
439	965	1228
440	966	1225
441	968	1222
442	970	1219
443	971	1216
444	973	1213
445	974	1210
446	976	1208
447	978	1205
448	979	1202
449	981	1199
450	983	1196
451	984	1193
452	986	1191
453	988	1188
454	990	1185
455	991	1183
456	993	1180
457	995	1177
458	997	1175
459	998	1172
460	1000	1169
461	1001	1166
462	1003	1163
463	1005	1161
464	1006	1158
465	1008	1156
466	1010	1153
467	1013	1151
468	1015	1149
469	1016	1146
470	1018	1144
471	1020	1141
472	1021	1138
473	1023	1135
474	1025	1133
475	1026	1130
476	1028	1127
477	1030	1124
478	1031	1122
479	1033	1119
480	1035	1116
481	1036	1114
482	1038	1111
483	1040	1108
484	1041	1106
485	1043	1103
486	1044	1100
487	1046	1098
488	1048	1095
489	1050	1093
490	1051	1090
491	1053	1087
492	1055	1085
493	1056	1082
494	1058	1079
495	1060	1077
496	1061	1074
497	1063	1071
498	1065	1069
499	1066	1066
500	1068	1064
501	1072	1063
502	1073	1060
503	1075	1058
504	1076	1055
505	1078	1053
506	1080	1050
507	1081	1047
508	1083	1045
509	1085	1043
510	1087	1040
511	1089	1038
512	1090	1035
513	1092	1032
514	1093	1030
515	1095	1027
516	1097	1025
517	1105	1028
518	1106	1025
519	1108	1023
520	1110	1020
521	1112	1018
522	1114	1016
523	1116	1014
524	1118	1012
525	1120	1009
526	1122	1007
527	1123	1004
528	1125	1001
529	1126	999
530	1128	997
531	1130	994
532	1132	992
533	1133	989
534	1135	986
535	1137	984
536	1139	982
537	1140	979
538	1142	977
539	1144	974
540	1146	972
541	1147	969
542	1149	967
543	1151	964
544	1152	962
545	1154	959
546	1155	957
547	1157	954
548	1159	952
549	1160	949
550	1162	947
551	1164	944
552	1166	942
553	1168	940
554	1169	937
555	1171	935
556	1172	932
557	1174	930
558	1176	928
559	1178	925
560	1179	923
561	1181	920
562	1183	918
563	1184	915
564	1186	913
565	1188	911
566	1189	908
567	1191	906
568	1193	904
569	1195	901
570	1197	899
571	1199	897
572	1200	894
573	1202	892
574	1203	889
575	1205	887
576	1207	885
577	1208	882
578	1210	880
579	1212	877
580	1213	875
581	1215	873
582	1217	870
583	1218	868
584	1220	865
585	1222	863
586	1223	861
587	1225	858
588	1227	856
589	1228	853
590	1230	851
591	1232	849
592	1233	846
593	1235	844
594	1237	842
595	1238	839
596	1240	837
597	1242	835
598	1244	832
599	1245	830
600	1247	828
601	1248	825
602	1250	823
603	1252	820
604	1253	818
605	1255	816
606	1257	814
607	1259	811
608	1260	809
609	1262	807
610	1263	804
611	1265	802
612	1267	799
613	1268	797
614	1270	795
615	1272	793
616	1274	791
617	1276	788
618	1277	786
619	1279	784
620	1281	781
621	1282	779
622	1284	777
623	1286	774
624	1287	772
625	1289	770
626	1290	767
627	1292	765
628	1294	763
629	1295	761
630	1297	758
631	1299	756
