Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Factory,Distance_KM,Lead_Time_Days,Profit_Margin,Factory_Lat,Factory_Lon,Customer_Lat,Customer_Lon
1,ORD-191161,2023-11-24,2023-11-28,Same-Day,CUST-7912,United States,New York,NY,14165,Chocolate,East,PRD-C-002,Wonka Bar - Fudge Mallows,25921.03,889,-64106.51,13468.79,Lot's O' Nuts,3444.71,4.42,-2.4731,32.881893,-111.768036,40.7128,-74.006
2,ORD-539898,2023-01-16,2023-01-22,Standard,CUST-4611,United States,Houston,TX,68878,Chocolate,South,PRD-C-002,Wonka Bar - Fudge Mallows,47302.36,1678,-112851.98,26412.21,Lot's O' Nuts,1594.07,6.24,-2.3858,32.881893,-111.768036,29.7604,-95.3698
3,ORD-207175,2023-10-29,2023-11-04,Standard,CUST-2519,United States,New York,NY,59797,Chocolate,East,PRD-C-005,Wonka Bar - Triple Dazzle Caramel,19973.27,1323,-66970.95,10887.9,Wicked Choccy's,1149.76,6.21,-3.353,32.076176,-81.088371,40.7128,-74.006
4,ORD-496922,2023-02-19,2023-02-21,Same-Day,CUST-2291,United States,Philadelphia,PA,82357,Sugar,East,PRD-S-001,Laffy Taffy,98533.18,3813,-132404.28,49734.57,Sugar Shack,1900.9,2.6,-1.3438,48.11914,-96.18115,39.9526,-75.1652
5,ORD-183667,2023-05-31,2023-06-06,Express,CUST-4814,United States,San Jose,CA,23238,Other,West,PRD-O-003,Wonka Gum,11673.9,425,-40817.3,6340.55,Secret Factory,2714.74,6.98,-3.4965,41.446333,-90.565487,37.3382,-121.8863
6,ORD-816751,2023-07-14,2023-07-18,Same-Day,CUST-2169,United States,San Diego,CA,89840,Chocolate,West,PRD-C-005,Wonka Bar - Triple Dazzle Caramel,35837.06,2960,-237723.03,24102.11,Wicked Choccy's,3371.05,4.53,-6.6334,32.076176,-81.088371,32.7157,-117.1611
7,ORD-684004,2023-11-22,2023-11-24,Same-Day,CUST-4598,United States,Dallas,TX,99733,Chocolate,South,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,78423.46,2261,-45446.57,44864.68,Lot's O' Nuts,1397.71,2.71,-0.5795,32.881893,-111.768036,32.7767,-96.797
8,ORD-694731,2023-06-16,2023-06-23,Standard,CUST-6155,United States,New York,NY,37869,Other,East,PRD-O-003,Wonka Gum,43543.2,3336,-218096.88,30077.75,Secret Factory,1388.26,7.63,-5.0087,41.446333,-90.565487,40.7128,-74.006
9,ORD-883300,2023-12-02,2023-12-05,Same-Day,CUST-8019,United States,San Antonio,TX,86484,Sugar,South,PRD-S-003,Nerds,56158.67,2070,-85386.81,33481.91,Sugar Shack,2088.19,3.21,-1.5205,48.11914,-96.18115,29.4241,-98.4936
10,ORD-267753,2023-07-24,2023-07-31,Standard,CUST-7916,United States,Houston,TX,88172,Sugar,South,PRD-S-001,Laffy Taffy,10965.64,435,-41254.03,7793.7,Sugar Shack,2042.57,7.24,-3.7621,48.11914,-96.18115,29.7604,-95.3698
11,ORD-855731,2023-02-02,2023-02-05,Same-Day,CUST-2876,United States,San Antonio,TX,99353,Sugar,South,PRD-S-002,SweeTARTS,107352.39,4582,-213920.59,82071.39,Sugar Shack,2088.19,3.88,-1.9927,48.11914,-96.18115,29.4241,-98.4936
12,ORD-854639,2023-10-02,2023-10-05,Same-Day,CUST-5315,United States,Phoenix,AZ,75612,Other,West,PRD-O-002,Lickable Wallpaper,31244.41,1345,-54879.39,15878.88,Secret Factory,2089.07,3.2,-1.7565,41.446333,-90.565487,33.4484,-112.074
13,ORD-665579,2023-04-02,2023-04-06,Same-Day,CUST-9689,United States,Los Angeles,CA,10074,Sugar,West,PRD-S-004,Fun Dip,22453.0,1679,-90800.34,12244.26,Sugar Shack,2406.41,4.01,-4.044,48.11914,-96.18115,34.0522,-118.2437
14,ORD-694916,2023-11-03,2023-11-10,Standard,CUST-2290,United States,San Diego,CA,21226,Sugar,West,PRD-S-001,Laffy Taffy,32415.6,2569,-304625.56,22072.29,Sugar Shack,2452.07,7.67,-9.3975,48.11914,-96.18115,32.7157,-117.1611
15,ORD-653306,2023-09-06,2023-09-09,Same-Day,CUST-7932,United States,Los Angeles,CA,37760,Other,West,PRD-O-003,Wonka Gum,107183.24,3943,-220454.45,75716.37,Secret Factory,2555.63,3.63,-2.0568,41.446333,-90.565487,34.0522,-118.2437
16,ORD-226882,2023-10-04,2023-10-07,Same-Day,CUST-5061,United States,Houston,TX,39451,Other,South,PRD-O-002,Lickable Wallpaper,59802.68,3109,-82615.05,35975.8,Secret Factory,1369.47,3.52,-1.3815,41.446333,-90.565487,29.7604,-95.3698
17,ORD-340062,2023-02-02,2023-02-05,Same-Day,CUST-2104,United States,New York,NY,14117,Sugar,East,PRD-S-001,Laffy Taffy,1140.88,108,-4738.74,655.01,Sugar Shack,1935.04,3.59,-4.1536,48.11914,-96.18115,40.7128,-74.006
18,ORD-698782,2023-06-19,2023-06-25,Standard,CUST-8744,United States,Dallas,TX,41850,Chocolate,South,PRD-C-002,Wonka Bar - Fudge Mallows,60992.72,4467,-282385.52,31200.56,Lot's O' Nuts,1397.71,6.08,-4.6298,32.881893,-111.768036,32.7767,-96.797
19,ORD-864491,2023-08-31,2023-09-06,Standard,CUST-1887,United States,San Antonio,TX,98259,Other,South,PRD-O-002,Lickable Wallpaper,54527.86,2952,-202733.69,33516.06,Secret Factory,1515.89,6.21,-3.718,41.446333,-90.565487,29.4241,-98.4936
20,ORD-570405,2023-12-01,2023-12-09,Standard,CUST-3296,United States,Los Angeles,CA,65296,Sugar,West,PRD-S-006,Hair Toffee,11823.03,945,-118438.28,8249.7,The Other Factory,2582.26,8.48,-10.0176,35.1175,-89.971107,34.0522,-118.2437
21,ORD-666847,2023-04-04,2023-04-14,Standard,CUST-1241,United States,San Diego,CA,22224,Chocolate,West,PRD-C-005,Wonka Bar - Triple Dazzle Caramel,51788.72,4558,-745958.44,29484.02,Wicked Choccy's,3371.05,10.6,-14.4039,32.076176,-81.088371,32.7157,-117.1611
22,ORD-509386,2023-05-02,2023-05-06,Express,CUST-5345,United States,San Antonio,TX,69638,Chocolate,South,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,5152.5,530,-26775.43,3958.87,Lot's O' Nuts,1319.3,4.89,-5.1966,32.881893,-111.768036,29.4241,-98.4936
23,ORD-871476,2023-05-27,2023-05-29,Same-Day,CUST-9883,United States,Dallas,TX,17989,Sugar,South,PRD-S-002,SweeTARTS,27487.19,2480,-98831.77,20498.47,Sugar Shack,1706.78,2.8,-3.5956,48.11914,-96.18115,32.7767,-96.797
24,ORD-184002,2023-06-10,2023-06-15,Same-Day,CUST-4044,United States,New York,NY,18981,Chocolate,East,PRD-C-001,Wonka Bar - Nutty Crunch Surprise,63891.84,4400,-347417.18,32390.56,Lot's O' Nuts,3444.71,5.56,-5.4376,32.881893,-111.768036,40.7128,-74.006
25,ORD-185965,2023-11-01,2023-11-06,Express,CUST-7868,United States,Houston,TX,96163,Chocolate,South,PRD-C-002,Wonka Bar - Fudge Mallows,37538.38,2066,-122465.92,28270.7,Lot's O' Nuts,1594.07,5.01,-3.2624,32.881893,-111.768036,29.7604,-95.3698
26,ORD-804318,2023-10-26,2023-10-30,Express,CUST-5915,United States,Dallas,TX,69929,Sugar,South,PRD-S-005,Everlasting Gobstopper,35493.25,2623,-103515.34,22506.1,Secret Factory,1110.39,4.02,-2.9165,41.446333,-90.565487,32.7767,-96.797
27,ORD-378082,2023-06-11,2023-06-20,Standard,CUST-3170,United States,Los Angeles,CA,55745,Other,West,PRD-O-004,Kazookles,7680.74,869,-109818.25,5299.95,The Other Factory,2582.26,9.58,-14.2979,35.1175,-89.971107,34.0522,-118.2437
28,ORD-946305,2023-02-05,2023-02-08,Express,CUST-9666,United States,Houston,TX,11025,Other,South,PRD-O-004,Kazookles,120953.11,4500,-89741.32,69988.94,The Other Factory,781.7,3.19,-0.742,35.1175,-89.971107,29.7604,-95.3698
29,ORD-878480,2023-12-08,2023-12-11,Express,CUST-3546,United States,Dallas,TX,45697,Other,South,PRD-O-003,Wonka Gum,19827.97,1150,-41562.17,10312.04,Secret Factory,1110.39,3.86,-2.0961,41.446333,-90.565487,32.7767,-96.797
30,ORD-987204,2023-05-25,2023-05-28,Same-Day,CUST-1832,United States,Houston,TX,22097,Sugar,South,PRD-S-005,Everlasting Gobstopper,41070.31,2212,-62490.76,27829.47,Secret Factory,1369.47,3.07,-1.5216,41.446333,-90.565487,29.7604,-95.3698
31,ORD-839945,2023-11-21,2023-11-28,Standard,CUST-8007,United States,Phoenix,AZ,83519,Sugar,West,PRD-S-002,SweeTARTS,26223.44,2195,-220677.27,16295.09,Sugar Shack,2101.19,7.37,-8.4153,48.11914,-96.18115,33.4484,-112.074
32,ORD-233636,2023-01-05,2023-01-07,Same-Day,CUST-1685,United States,Los Angeles,CA,50404,Chocolate,West,PRD-C-002,Wonka Bar - Fudge Mallows,59276.12,3074,-30177.17,42229.52,Lot's O' Nuts,614.49,2.38,-0.5091,32.881893,-111.768036,34.0522,-118.2437
33,ORD-526117,2023-07-06,2023-07-10,Express,CUST-3532,United States,New York,NY,41029,Other,East,PRD-O-004,Kazookles,15552.49,892,-48212.08,9192.22,The Other Factory,1529.49,4.03,-3.1,35.1175,-89.971107,40.7128,-74.006
34,ORD-802448,2023-03-25,2023-03-27,Express,CUST-5065,United States,Chicago,IL,44970,Other,Midwest,PRD-O-002,Lickable Wallpaper,73652.57,2771,-270.31,46374.89,Secret Factory,248.54,2.53,-0.0037,41.446333,-90.565487,41.8781,-87.6298
35,ORD-466643,2023-03-23,2023-03-30,Express,CUST-6000,United States,Los Angeles,CA,39831,Other,West,PRD-O-002,Lickable Wallpaper,29073.81,1872,-177255.85,14964.01,Secret Factory,2555.63,7.25,-6.0968,41.446333,-90.565487,34.0522,-118.2437
36,ORD-812526,2023-04-25,2023-04-30,Express,CUST-9785,United States,Houston,TX,53404,Chocolate,South,PRD-C-001,Wonka Bar - Nutty Crunch Surprise,39731.78,2336,-133201.89,23984.16,Lot's O' Nuts,1594.07,5.18,-3.3525,32.881893,-111.768036,29.7604,-95.3698
37,ORD-863934,2023-01-15,2023-01-19,Standard,CUST-6139,United States,Phoenix,AZ,67199,Chocolate,West,PRD-C-002,Wonka Bar - Fudge Mallows,3858.49,363,198.51,2405.25,Lot's O' Nuts,69.13,4.77,0.0514,32.881893,-111.768036,33.4484,-112.074
38,ORD-945687,2023-11-07,2023-11-13,Express,CUST-9821,United States,Los Angeles,CA,97900,Sugar,West,PRD-S-004,Fun Dip,8400.35,413,-37809.48,6455.92,Sugar Shack,2406.41,6.03,-4.5009,48.11914,-96.18115,34.0522,-118.2437
39,ORD-414910,2023-04-11,2023-04-20,Standard,CUST-9308,United States,San Antonio,TX,50538,Sugar,South,PRD-S-001,Laffy Taffy,54360.41,2621,-258482.32,39186.08,Sugar Shack,2088.19,9.46,-4.755,48.11914,-96.18115,29.4241,-98.4936
40,ORD-810219,2023-12-08,2023-12-13,Express,CUST-3851,United States,Philadelphia,PA,90676,Sugar,East,PRD-S-002,SweeTARTS,35891.19,1621,-105691.05,18328.15,Sugar Shack,1900.9,5.57,-2.9448,48.11914,-96.18115,39.9526,-75.1652
