Order ID,Order Date,Ship Date,Ship Mode,Customer ID,City,State/Province,Region,Division,Product ID,Product Name,Sales,Units,Cost,Gross Profit,Factory,Distance_KM,Lead_Time_Days,Factory_Lat,Factory_Lon,Customer_Lat,Customer_Lon
ORD-191161,2023-11-24,2023-11-28,Same-Day,CUST-7912,New York,NY,East,Chocolate,PRD-C-002,Wonka Bar - Fudge Mallows,25921.03,889,13468.79,9389.89,Lot's O' Nuts,3444.71,4.42,32.881893,-111.768036,40.7128,-74.006
ORD-671412,2023-01-17,2023-01-21,Standard,CUST-7873,Los Angeles,CA,West,Chocolate,PRD-C-001,Wonka Bar - Nutty Crunch Surprise,65098.69,4647,37094.98,22292.61,Lot's O' Nuts,614.49,4.6,32.881893,-111.768036,34.0522,-118.2437
ORD-263032,2023-04-23,2023-04-28,Express,CUST-4527,San Jose,CA,West,Sugar,PRD-S-003,Nerds,32294.96,1357,20995.63,11299.329999999998,Sugar Shack,2401.01,5.66,48.11914,-96.18115,37.3382,-121.8863
ORD-581741,2023-06-22,2023-06-25,Express,CUST-9785,Los Angeles,CA,West,Chocolate,PRD-C-002,Wonka Bar - Fudge Mallows,59594.92,4995,44794.23,9889.67,Lot's O' Nuts,614.49,3.35,32.881893,-111.768036,34.0522,-118.2437
ORD-148050,2023-03-05,2023-03-11,Standard,CUST-4733,San Antonio,TX,South,Other,PRD-O-004,Kazookles,73780.81,3012,41144.77,26488.81,The Other Factory,1020.46,6.39,35.1175,-89.971107,29.4241,-98.4936
ORD-802729,2023-05-29,2023-06-04,Standard,CUST-5374,Houston,TX,South,Chocolate,PRD-C-002,Wonka Bar - Fudge Mallows,35003.71,3038,22602.15,2716.02,Lot's O' Nuts,1594.07,6.63,32.881893,-111.768036,29.7604,-95.3698
ORD-771088,2023-12-26,2023-12-30,Same-Day,CUST-4598,Los Angeles,CA,West,Other,PRD-O-004,Kazookles,23972.57,2055,15311.88,3354.15,The Other Factory,2582.26,4.2,35.1175,-89.971107,34.0522,-118.2437
ORD-694731,2023-12-17,2023-12-25,Standard,CUST-6155,New York,NY,East,Sugar,PRD-S-001,Laffy Taffy,43543.2,3336,30077.75,554.87,Sugar Shack,1935.04,8.72,48.11914,-96.18115,40.7128,-74.006
ORD-688637,2023-04-19,2023-04-25,Express,CUST-9830,San Diego,CA,West,Sugar,PRD-S-006,Hair Toffee,16121.43,1220,10947.31,264.25,The Other Factory,2515.31,6.87,35.1175,-89.971107,32.7157,-117.1611
ORD-617488,2023-05-15,2023-05-21,Express,CUST-2489,San Jose,CA,West,Other,PRD-O-001,Fizzy Lifting Drinks,51467.61,1846,36845.95,7530.05,Sugar Shack,2401.01,6.34,48.11914,-96.18115,37.3382,-121.8863
ORD-724834,2023-01-25,2023-02-03,Standard,CUST-8668,Los Angeles,CA,West,Other,PRD-O-003,Wonka Gum,76776.75,3508,48923.04,9923.4,Secret Factory,2555.63,9.55,41.446333,-90.565487,34.0522,-118.2437
ORD-456699,2023-09-28,2023-10-04,Standard,CUST-2827,Dallas,TX,South,Chocolate,PRD-C-005,Wonka Bar - Triple Dazzle Caramel,132959.67,4448,72338.57,47498.83,Wicked Choccy's,1475.08,6.48,32.076176,-81.088371,32.7767,-96.797
ORD-632342,2023-05-31,2023-06-03,Express,CUST-2743,Chicago,IL,Midwest,Sugar,PRD-S-002,SweeTARTS,79218.89,2207,43209.36,32601.45,Sugar Shack,965.13,3.63,48.11914,-96.18115,41.8781,-87.6298
ORD-656116,2023-11-17,2023-11-19,Same-Day,CUST-1009,Dallas,TX,South,Chocolate,PRD-C-005,Wonka Bar - Triple Dazzle Caramel,33161.82,1373,17973.51,13163.03,Wicked Choccy's,1475.08,2.64,32.076176,-81.088371,32.7767,-96.797
ORD-694916,2023-11-03,2023-11-10,Standard,CUST-2290,San Diego,CA,West,Sugar,PRD-S-001,Laffy Taffy,32415.6,2569,22072.29,-2255.45,Sugar Shack,2452.07,7.67,48.11914,-96.18115,32.7157,-117.1611
ORD-676510,2023-02-13,2023-02-22,Standard,CUST-3705,San Diego,CA,West,Other,PRD-O-001,Fizzy Lifting Drinks,12212.48,1080,7479.94,-563.94,Sugar Shack,2452.07,9.66,48.11914,-96.18115,32.7157,-117.1611
ORD-804314,2023-05-16,2023-05-23,Express,CUST-7118,San Jose,CA,West,Sugar,PRD-S-004,Fun Dip,42061.54,1697,26633.12,8909.21,Sugar Shack,2401.01,7.2,48.11914,-96.18115,37.3382,-121.8863
ORD-717024,2023-08-13,2023-08-15,Express,CUST-4608,Dallas,TX,South,Other,PRD-O-004,Kazookles,25289.9,2819,14984.43,7233.39,The Other Factory,681.11,2.55,35.1175,-89.971107,32.7767,-96.797
ORD-801474,2023-01-04,2023-01-13,Standard,CUST-8953,New York,NY,East,Chocolate,PRD-C-002,Wonka Bar - Fudge Mallows,24505.83,2756,16709.24,-11190.67,Lot's O' Nuts,3444.71,9.07,32.881893,-111.768036,40.7128,-74.006
ORD-526833,2023-04-20,2023-04-22,Same-Day,CUST-4119,Chicago,IL,Midwest,Sugar,PRD-S-004,Fun Dip,55302.66,3922,33905.53,17611.88,Sugar Shack,965.13,2.79,48.11914,-96.18115,41.8781,-87.6298
ORD-203198,2023-02-18,2023-02-22,Express,CUST-1993,San Antonio,TX,South,Chocolate,PRD-C-002,Wonka Bar - Fudge Mallows,14806.54,493,7444.53,6321.35,Lot's O' Nuts,1319.3,4.23,32.881893,-111.768036,29.4241,-98.4936
ORD-585100,2023-07-26,2023-08-01,Standard,CUST-5092,Philadelphia,PA,East,Other,PRD-O-001,Fizzy Lifting Drinks,37793.26,3725,26457.69,-2826.1,Sugar Shack,1900.9,6.58,48.11914,-96.18115,39.9526,-75.1652
ORD-989921,2023-02-08,2023-02-15,Standard,CUST-4872,Dallas,TX,South,Sugar,PRD-S-003,Nerds,6470.71,170,3320.94,2569.46,Sugar Shack,1706.78,7.01,48.11914,-96.18115,32.7767,-96.797
